composer,title,instrumentation,publisher,notes,duration,nfa_level
"Babbitt, Milton",Composition for Four Instruments,"fl, vn, cl, vc",Merion/Theodore Presser,to UI Library,,
"Bach, J.C.",Quartet in A Major,"fl, vn, va, vc",Musica Rara,to UI Library,,
"Bach, J.C.",Quartet in C Major,"fl, vn, va, vc",Musica Rara,to UI Library,,
"Bentzon, Jorgen","Sonatina, op. 7","fl, cl, bsn",Wilhelm Hansen,to UI Library,,
"Blackwood, Easley","Concertino for Five Instruments, op. 5","fl, ob, vn, va, vc",Schirmer,to UI Library,,
"Brown, Earle",Hodograph 1,"fl, pno, celeste, orch bells, vibraphone, marimba",Associated,to UI Library,,
"Childs, Barney",Music for Two Flute Players,"fl (+picc), fl (+alto fl)",Merion/Theodore Presser,to UI Library,,
"Creston, Paul",Suite,"fl, va, pno",Shawnee Press,to UI Library,,
"Czerny, Carl",Fantasie concertante,"fl, vc, pno",Eulenburg,to UI Library,,
"Defaye, Jean-Michel",6 Etudes,2 fl,Leduc,to UI Library,,
"DeLorenzo, Leonardo",Trio Romantico,"fl, ob, cl",Peters,to UI Library,,
"Denisov, Edison",Duo (1989),"fl, va",Leduc,to UI Library,,
"Doran, Matt",Sonatina,"fl, vc",Western International Music,to UI Library,,
"Farkas, Ferenc",Egloga Burattinata,"fl, guit",Editio Musica Budapest,to UI Library,,
"Feld, Jindrich",Deux Danses,"fl, guit",Leduc,to UI Library,,
"Haydn, Joseph",6 Quartets,"fl, vn, va, vc",International,to UI Library,,
"Heiss, John",Capriccio,"fl, cl, perc",E.C. Schirmer (Boston),to UI Library,,
"Holst, Gustav",Terzetto,"fl, ob, va (or cl)",Chester,to UI Library,,
"Janacek, Leos",Three Moravian Dances,"fl, ob, cl, bsn",International,to UI Library,,
"Joplin, Scott",Rags,"fl, cl, bsn",Gazebo,to UI Library,,
"Martinu, Bohuslav",Madrigal Sonata,"fl, vn, pno",Associated,to UI Library,,
"Matiegka, Wenzeslav",Trio,"fl, va, guit",Kalmus,to UI Library,,
"Milhaud, Darius",Concerto,"fl, vn, pno",Salabert,to UI Library,,
"Molique, Bernhard",Duo Concertant,"fl, vn",Zimmermann,to UI Library,,
"Moran, Robert",Four Visions,"fl, hp, 2vns, va, vc",Universal,to UI Library,,
"Neubaur, F.C.","Four Pieces, op. 10","fl, va",Schirmer,to UI Library,,
"Neubaur, F.C.","Trio in C Major, op. 3, no. 3","fl, vn, va",Sikorski,to UI Library,,
"Ponchielli, A.",Quintet,"fl, ob, E-flat cl, cl, pno",photocopy,to UI Library,,
"Yi, Chen",Qi,"fl, vc, perc, pno",Theodore Presser,to UI Library,,
"Zimmermann, Bernard Alois",Tempus loquendi,"fl, alto fl, bass fl",Scott,to UI Library,,
